#x-axis,1,2
#second,Volt,Volt
-1.165900E+00,+10.050E-03,-20.101E-03
-1.164000E+00,-18.844E-03,-40.201E-03
-1.162100E+00,-8.794E-03,-10.050E-03
-1.160200E+00,-20.101E-03,+18.844E-03
-1.158300E+00,-28.894E-03,-20.101E-03
-1.156400E+00,-20.101E-03,+0.0E+00
-1.154500E+00,-20.101E-03,-28.894E-03
-1.152600E+00,-20.101E-03,-38.945E-03
-1.150700E+00,-69.095E-03,-10.050E-03
-1.148800E+00,-60.302E-03,-38.945E-03
-1.146900E+00,-50.251E-03,-30.151E-03
-1.145000E+00,-60.302E-03,-60.302E-03
-1.143100E+00,-211.055E-03,-120.603E-03
-1.141200E+00,-442.211E-03,-40.201E-03
-1.139300E+00,-430.905E-03,+30.151E-03
-1.137400E+00,-219.849E-03,+80.402E-03
-1.135500E+00,-69.095E-03,+50.251E-03
-1.133600E+00,-40.201E-03,+0.0E+00
-1.131700E+00,-60.302E-03,-10.050E-03
-1.129800E+00,-60.302E-03,-18.844E-03
-1.127900E+00,-48.995E-03,+8.794E-03
-1.126000E+00,-40.201E-03,+18.844E-03
-1.124100E+00,-28.894E-03,+0.0E+00
-1.122200E+00,-38.945E-03,+0.0E+00
-1.120300E+00,-20.101E-03,+20.101E-03
-1.118400E+00,+0.0E+00,+0.0E+00
-1.116500E+00,+10.050E-03,+0.0E+00
-1.114600E+00,-18.844E-03,+0.0E+00
-1.112700E+00,+0.0E+00,+8.794E-03
-1.110800E+00,+0.0E+00,+0.0E+00
-1.108900E+00,+8.794E-03,+0.0E+00
-1.107000E+00,+20.101E-03,+0.0E+00
-1.105100E+00,+30.151E-03,+40.201E-03
-1.103200E+00,+160.804E-03,+79.146E-03
-1.101300E+00,+341.709E-03,+48.995E-03
-1.099400E+00,+321.608E-03,-60.302E-03
-1.097500E+00,+180.905E-03,-100.503E-03
-1.095600E+00,+40.201E-03,-79.146E-03
-1.093700E+00,+8.794E-03,-30.151E-03
-1.091800E+00,+18.844E-03,-20.101E-03
-1.089900E+00,+20.101E-03,-8.794E-03
-1.088000E+00,+0.0E+00,-20.101E-03
-1.086100E+00,+0.0E+00,-28.894E-03
-1.084200E+00,+0.0E+00,+0.0E+00
-1.082300E+00,-10.050E-03,-10.050E-03
-1.080400E+00,+0.0E+00,-18.844E-03
-1.078500E+00,-28.894E-03,+0.0E+00
-1.076600E+00,+0.0E+00,-20.101E-03
-1.074700E+00,-20.101E-03,-8.794E-03
-1.072800E+00,-38.945E-03,-38.945E-03
-1.070900E+00,-40.201E-03,-20.101E-03
-1.069000E+00,-59.045E-03,-18.844E-03
-1.067100E+00,-20.101E-03,-28.894E-03
-1.065200E+00,-40.201E-03,-40.201E-03
-1.063300E+00,-130.653E-03,-100.503E-03
-1.061400E+00,-301.508E-03,-60.302E-03
-1.059500E+00,-321.608E-03,+20.101E-03
-1.057600E+00,-159.548E-03,+60.302E-03
-1.055700E+00,-59.045E-03,+28.894E-03
-1.053800E+00,-20.101E-03,+0.0E+00
-1.051900E+00,-50.251E-03,+10.050E-03
-1.050000E+00,-20.101E-03,+0.0E+00
-1.048100E+00,-28.894E-03,+0.0E+00
-1.046200E+00,-38.945E-03,+0.0E+00
-1.044300E+00,-20.101E-03,+0.0E+00
-1.042400E+00,-38.945E-03,+0.0E+00
-1.040500E+00,-20.101E-03,+10.050E-03
-1.038600E+00,+0.0E+00,+0.0E+00
-1.036700E+00,-20.101E-03,+10.050E-03
-1.034800E+00,+0.0E+00,+0.0E+00
-1.032900E+00,+0.0E+00,+0.0E+00
-1.031000E+00,+20.101E-03,+18.844E-03
-1.029100E+00,+8.794E-03,+0.0E+00
-1.027200E+00,+0.0E+00,+0.0E+00
-1.025300E+00,+10.050E-03,+30.151E-03
-1.023400E+00,+60.302E-03,+60.302E-03
-1.021500E+00,+201.005E-03,+50.251E-03
-1.019600E+00,+261.307E-03,-20.101E-03
-1.017700E+00,+120.603E-03,-60.302E-03
-1.015800E+00,+20.101E-03,-60.302E-03
-1.013900E+00,+0.0E+00,-28.894E-03
-1.012000E+00,+0.0E+00,+0.0E+00
-1.010100E+00,+10.050E-03,-8.794E-03
-1.008200E+00,-18.844E-03,+0.0E+00
-1.006300E+00,-10.050E-03,-20.101E-03
-1.004400E+00,+0.0E+00,+0.0E+00
-1.002500E+00,+0.0E+00,-8.794E-03
-1.000600E+00,+0.0E+00,-18.844E-03
-998.700E-03,-28.894E-03,+0.0E+00
-996.800E-03,-20.101E-03,+0.0E+00
